Unnamed: 0,wsi_id,wsi_name,genotype,x_tile_coord,y_tile_coord,file,batch,animal_id,dissected_region,is_CBTP_old,unique_wsi,connected_component
0,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,28,6,Eran Hodis 2020-09-15-012_28_6_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,1
1,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,40,4,Eran Hodis 2020-09-15-012_40_4_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
2,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,3,13,Eran Hodis 2020-09-15-012_3_13_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
3,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,44,16,Eran Hodis 2020-09-15-012_44_16_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
4,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,6,12,Eran Hodis 2020-09-15-012_6_12_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
5,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,41,14,Eran Hodis 2020-09-15-012_41_14_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
6,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,29,16,Eran Hodis 2020-09-15-012_29_16_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,7
7,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,9,23,Eran Hodis 2020-09-15-012_9_23_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
8,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,43,15,Eran Hodis 2020-09-15-012_43_15_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
9,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,27,23,Eran Hodis 2020-09-15-012_27_23_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,7
10,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,28,20,Eran Hodis 2020-09-15-012_28_20_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,7
11,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,27,4,Eran Hodis 2020-09-15-012_27_4_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,1
12,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,29,5,Eran Hodis 2020-09-15-012_29_5_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,1
13,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,37,15,Eran Hodis 2020-09-15-012_37_15_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
14,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,11,15,Eran Hodis 2020-09-15-012_11_15_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
15,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,39,13,Eran Hodis 2020-09-15-012_39_13_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
16,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,40,3,Eran Hodis 2020-09-15-012_40_3_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
17,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,23,24,Eran Hodis 2020-09-15-012_23_24_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,7
18,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,24,23,Eran Hodis 2020-09-15-012_24_23_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,7
19,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,37,12,Eran Hodis 2020-09-15-012_37_12_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
20,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,8,13,Eran Hodis 2020-09-15-012_8_13_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
21,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,25,26,Eran Hodis 2020-09-15-012_25_26_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,7
22,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,8,21,Eran Hodis 2020-09-15-012_8_21_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
23,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,2,14,Eran Hodis 2020-09-15-012_2_14_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
24,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,7,21,Eran Hodis 2020-09-15-012_7_21_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
25,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,42,20,Eran Hodis 2020-09-15-012_42_20_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
26,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,41,6,Eran Hodis 2020-09-15-012_41_6_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
27,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,1,15,Eran Hodis 2020-09-15-012_1_15_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
28,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,5,20,Eran Hodis 2020-09-15-012_5_20_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
29,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,5,17,Eran Hodis 2020-09-15-012_5_17_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
30,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,30,19,Eran Hodis 2020-09-15-012_30_19_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,7
31,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,33,14,Eran Hodis 2020-09-15-012_33_14_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
32,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,42,2,Eran Hodis 2020-09-15-012_42_2_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
33,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,10,19,Eran Hodis 2020-09-15-012_10_19_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
34,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,29,6,Eran Hodis 2020-09-15-012_29_6_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,1
35,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,40,19,Eran Hodis 2020-09-15-012_40_19_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
36,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,25,19,Eran Hodis 2020-09-15-012_25_19_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,7
37,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,29,19,Eran Hodis 2020-09-15-012_29_19_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,7
38,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,11,21,Eran Hodis 2020-09-15-012_11_21_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
39,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,8,22,Eran Hodis 2020-09-15-012_8_22_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
40,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,36,10,Eran Hodis 2020-09-15-012_36_10_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
41,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,8,23,Eran Hodis 2020-09-15-012_8_23_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
42,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,37,2,Eran Hodis 2020-09-15-012_37_2_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
43,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,10,21,Eran Hodis 2020-09-15-012_10_21_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
44,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,37,9,Eran Hodis 2020-09-15-012_37_9_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
45,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,45,15,Eran Hodis 2020-09-15-012_45_15_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
46,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,39,8,Eran Hodis 2020-09-15-012_39_8_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
47,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,9,11,Eran Hodis 2020-09-15-012_9_11_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
48,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,9,21,Eran Hodis 2020-09-15-012_9_21_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
49,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,34,8,Eran Hodis 2020-09-15-012_34_8_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
50,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,28,21,Eran Hodis 2020-09-15-012_28_21_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,7
51,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,12,14,Eran Hodis 2020-09-15-012_12_14_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
52,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,4,20,Eran Hodis 2020-09-15-012_4_20_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
53,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,7,13,Eran Hodis 2020-09-15-012_7_13_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
54,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,10,24,Eran Hodis 2020-09-15-012_10_24_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
55,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,21,4,Eran Hodis 2020-09-15-012_21_4_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,4
56,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,8,12,Eran Hodis 2020-09-15-012_8_12_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
57,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,21,5,Eran Hodis 2020-09-15-012_21_5_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,4
58,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,41,3,Eran Hodis 2020-09-15-012_41_3_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
59,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,13,19,Eran Hodis 2020-09-15-012_13_19_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
60,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,3,16,Eran Hodis 2020-09-15-012_3_16_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
61,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,42,11,Eran Hodis 2020-09-15-012_42_11_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
62,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,11,13,Eran Hodis 2020-09-15-012_11_13_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
63,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,38,7,Eran Hodis 2020-09-15-012_38_7_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
64,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,33,13,Eran Hodis 2020-09-15-012_33_13_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
65,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,4,19,Eran Hodis 2020-09-15-012_4_19_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
66,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,25,22,Eran Hodis 2020-09-15-012_25_22_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,7
67,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,37,13,Eran Hodis 2020-09-15-012_37_13_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
68,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,3,20,Eran Hodis 2020-09-15-012_3_20_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
69,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,45,14,Eran Hodis 2020-09-15-012_45_14_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
70,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,14,22,Eran Hodis 2020-09-15-012_14_22_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
71,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,40,13,Eran Hodis 2020-09-15-012_40_13_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
72,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,4,17,Eran Hodis 2020-09-15-012_4_17_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
73,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,41,9,Eran Hodis 2020-09-15-012_41_9_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
74,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,27,8,Eran Hodis 2020-09-15-012_27_8_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,1
75,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,44,14,Eran Hodis 2020-09-15-012_44_14_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
76,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,43,2,Eran Hodis 2020-09-15-012_43_2_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
77,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,38,2,Eran Hodis 2020-09-15-012_38_2_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
78,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,25,21,Eran Hodis 2020-09-15-012_25_21_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,7
79,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,10,15,Eran Hodis 2020-09-15-012_10_15_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
80,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,43,16,Eran Hodis 2020-09-15-012_43_16_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
81,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,10,17,Eran Hodis 2020-09-15-012_10_17_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
82,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,36,4,Eran Hodis 2020-09-15-012_36_4_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
83,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,12,21,Eran Hodis 2020-09-15-012_12_21_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
84,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,26,25,Eran Hodis 2020-09-15-012_26_25_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,7
85,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,1,16,Eran Hodis 2020-09-15-012_1_16_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
86,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,27,20,Eran Hodis 2020-09-15-012_27_20_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,7
87,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,34,6,Eran Hodis 2020-09-15-012_34_6_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
88,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,31,18,Eran Hodis 2020-09-15-012_31_18_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,7
89,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,6,22,Eran Hodis 2020-09-15-012_6_22_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
90,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,29,21,Eran Hodis 2020-09-15-012_29_21_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,7
91,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,34,12,Eran Hodis 2020-09-15-012_34_12_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
92,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,38,4,Eran Hodis 2020-09-15-012_38_4_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
93,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,39,6,Eran Hodis 2020-09-15-012_39_6_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
94,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,5,21,Eran Hodis 2020-09-15-012_5_21_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,6
95,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,32,2,Eran Hodis 2020-09-15-012_32_2_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,1
96,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,44,19,Eran Hodis 2020-09-15-012_44_19_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
97,Eran Hodis 2020-09-15-012_Multiple,Eran Hodis 2020-09-15-012.svs,Multiple,45,17,Eran Hodis 2020-09-15-012_45_17_Multiple.png,L41,multiple,TMA01,False,Eran Hodis 2020-09-15-012.svs,2
