,wsi_name,x_tile_coord,y_tile_coord,genotype,unique_wsi,batch,animal_id,dissected_region,is_CBTP_old,is_in_train
0,Eran Hodis 2020-09-14-049.svs,4,3,CBT3,Eran Hodis 2020-09-14-049.svs_CBT3,L39,102,XR,FALSE,FALSE
1,Eran Hodis 2020-09-14-049.svs,5,3,CBT3,Eran Hodis 2020-09-14-049.svs_CBT3,L39,102,XR,FALSE,FALSE
2,Eran Hodis 2020-09-14-049.svs,47,4,CBT3,Eran Hodis 2020-09-14-049.svs_CBT3,L39,102,XR,FALSE,FALSE
3,Eran Hodis 2020-09-14-049.svs,47,3,CBT3,Eran Hodis 2020-09-14-049.svs_CBT3,L39,102,XR,FALSE,FALSE
4,Eran Hodis 2020-09-14-049.svs,46,3,CBT3,Eran Hodis 2020-09-14-049.svs_CBT3,L39,102,XR,FALSE,FALSE
5,Eran Hodis 2020-09-14-049.svs,45,3,CBT3,Eran Hodis 2020-09-14-049.svs_CBT3,L39,102,XR,FALSE,FALSE
6,Eran Hodis 2020-09-14-049.svs,48,4,CBT3,Eran Hodis 2020-09-14-049.svs_CBT3,L39,102,XR,FALSE,FALSE
7,Eran Hodis 2020-09-14-049.svs,3,4,CBT3,Eran Hodis 2020-09-14-049.svs_CBT3,L39,102,XR,FALSE,FALSE
8,Eran Hodis 2020-09-14-049.svs,4,4,CBT3,Eran Hodis 2020-09-14-049.svs_CBT3,L39,102,XR,FALSE,FALSE
9,Eran Hodis 2020-09-14-049.svs,46,4,CBT3,Eran Hodis 2020-09-14-049.svs_CBT3,L39,102,XR,FALSE,FALSE
10,Eran Hodis 2020-09-14-049.svs,3,3,CBT3,Eran Hodis 2020-09-14-049.svs_CBT3,L39,102,XR,FALSE,FALSE
11,Eran Hodis 2020-09-14-049.svs,5,4,CBT3,Eran Hodis 2020-09-14-049.svs_CBT3,L39,102,XR,FALSE,FALSE
12,Eran Hodis 2020-09-15-001.svs,38,13,CBT3,Eran Hodis 2020-09-15-001.svs_CBT3,L41,125,XLR,FALSE,TRUE
13,Eran Hodis 2020-09-15-001.svs,3,10,CBT3,Eran Hodis 2020-09-15-001.svs_CBT3,L41,125,XLR,FALSE,TRUE
14,Eran Hodis 2020-09-15-001.svs,43,12,CBT3,Eran Hodis 2020-09-15-001.svs_CBT3,L41,125,XLR,FALSE,TRUE
15,Eran Hodis 2020-09-15-001.svs,19,2,CBT3,Eran Hodis 2020-09-15-001.svs_CBT3,L41,125,XLR,FALSE,TRUE
16,Eran Hodis 2020-09-15-001.svs,18,5,CBT3,Eran Hodis 2020-09-15-001.svs_CBT3,L41,125,XLR,FALSE,TRUE
17,Eran Hodis 2020-09-15-001.svs,21,4,CBT3,Eran Hodis 2020-09-15-001.svs_CBT3,L41,125,XLR,FALSE,TRUE
18,Eran Hodis 2020-09-15-001.svs,22,5,CBT3,Eran Hodis 2020-09-15-001.svs_CBT3,L41,125,XLR,FALSE,TRUE
19,Eran Hodis 2020-09-15-001.svs,40,14,CBT3,Eran Hodis 2020-09-15-001.svs_CBT3,L41,125,XLR,FALSE,TRUE
20,Eran Hodis 2020-09-15-001.svs,40,12,CBT3,Eran Hodis 2020-09-15-001.svs_CBT3,L41,125,XLR,FALSE,TRUE
21,Eran Hodis 2020-09-15-001.svs,56,3,CBT3,Eran Hodis 2020-09-15-001.svs_CBT3,L41,125,XLR,FALSE,TRUE
22,Eran Hodis 2020-09-15-001.svs,22,4,CBT3,Eran Hodis 2020-09-15-001.svs_CBT3,L41,125,XLR,FALSE,TRUE
23,Eran Hodis 2020-09-15-001.svs,21,3,CBT3,Eran Hodis 2020-09-15-001.svs_CBT3,L41,125,XLR,FALSE,TRUE
24,Eran Hodis 2020-09-15-001.svs,57,5,CBT3,Eran Hodis 2020-09-15-001.svs_CBT3,L41,125,XLR,FALSE,TRUE
25,Eran Hodis 2020-09-15-001.svs,20,6,CBT3,Eran Hodis 2020-09-15-001.svs_CBT3,L41,125,XLR,FALSE,TRUE
26,Eran Hodis 2020-09-15-001.svs,55,6,CBT3,Eran Hodis 2020-09-15-001.svs_CBT3,L41,125,XLR,FALSE,TRUE
27,Eran Hodis 2020-09-15-001.svs,56,7,CBT3,Eran Hodis 2020-09-15-001.svs_CBT3,L41,125,XLR,FALSE,TRUE
28,Eran Hodis 2020-09-15-001.svs,55,4,CBT3,Eran Hodis 2020-09-15-001.svs_CBT3,L41,125,XLR,FALSE,TRUE
29,Eran Hodis 2020-09-15-001.svs,20,8,CBT3,Eran Hodis 2020-09-15-001.svs_CBT3,L41,125,XLR,FALSE,TRUE
30,Eran Hodis 2020-09-15-001.svs,4,9,CBT3,Eran Hodis 2020-09-15-001.svs_CBT3,L41,125,XLR,FALSE,TRUE
31,Eran Hodis 2020-09-15-001.svs,43,13,CBT3,Eran Hodis 2020-09-15-001.svs_CBT3,L41,125,XLR,FALSE,TRUE
